"PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","PACK_TYPE","BARLEY_USAGE_PER_UNIT","HOPS_USAGE_PER_UNIT","OTHER_COGS_PER_UNIT","BASE_RETAIL_PRICE"
"BEER-001075","Demo Beer Product #75","BEER","CS",0.93,0.78,15.39,36.01
"BEER-001076","Demo Beer Product #76","BEER","CS",0.87,0.61,14.46,37.96
"BEER-001077","Demo Beer Product #77","BEER","CS",0.85,0.55,15.62,34.76
"BEER-001078","Demo Beer Product #78","BEER","CS",0.81,0.56,17.43,33.00
"BEER-001079","Demo Beer Product #79","BEER","CS",0.85,0.78,14.93,37.38
"BEER-001080","Demo Beer Product #80","BEER","CS",0.78,0.63,15.76,32.78
"BEER-001081","Demo Beer Product #81","BEER","CS",0.78,0.56,16.30,38.00
"BEER-001082","Demo Beer Product #82","BEER","CS",0.94,0.57,14.16,36.15
"BEER-001083","Demo Beer Product #83","BEER","CS",0.78,0.65,15.44,35.44
"BEER-001084","Demo Beer Product #84","BEER","CS",0.99,0.62,14.38,33.93
"BEER-001085","Demo Beer Product #85","BEER","CS",0.84,0.67,17.00,33.18
"BEER-001086","Demo Beer Product #86","BEER","CS",1.00,0.50,14.55,33.13
"BEER-001087","Demo Beer Product #87","BEER","CS",0.80,0.56,16.98,36.65
"BEER-001088","Demo Beer Product #88","BEER","CS",0.85,0.52,14.49,33.71
"BEER-001089","Demo Beer Product #89","BEER","CS",0.92,0.63,15.78,36.96
"BEER-001090","Demo Beer Product #90","BEER","CS",0.79,0.69,15.83,33.44
"BEER-001091","Demo Beer Product #91","BEER","CS",0.80,0.70,14.97,37.97
"BEER-001092","Demo Beer Product #92","BEER","CS",0.80,0.63,14.94,37.90
"BEER-001093","Demo Beer Product #93","BEER","CS",1.00,0.76,14.19,33.97
"BEER-001094","Demo Beer Product #94","BEER","CS",0.95,0.65,17.15,32.81
"BEER-001095","Demo Beer Product #95","BEER","CS",0.82,0.59,14.46,33.82
"BEER-001096","Demo Beer Product #96","BEER","CS",0.81,0.50,16.92,35.75
"BEER-001097","Demo Beer Product #97","BEER","CS",0.83,0.67,17.26,33.76
"BEER-001098","Demo Beer Product #98","BEER","CS",0.92,0.57,16.44,35.41
"BEER-001099","Demo Beer Product #99","BEER","CS",0.78,0.68,14.48,35.29
